PM2.5 (ug/m3),CO (mg/m3),Ozone (ug/m3),NOx (ug/m3)
8.0,0.28,2.03,1.02
8.0,0.53,3.88,3.07
9.75,0.25,1.95,1.25
9.75,0.25,1.95,1.25
9.75,0.25,1.95,1.25
3.25,0.33,2.0,1.1
2.75,0.33,1.95,1.2
2.75,0.33,1.95,1.2
2.75,0.33,1.95,1.2
2.75,0.33,1.95,1.2
2.75,0.33,1.95,1.2
5.5,0.31,2.0,1.88
5.5,0.31,2.0,1.88
5.5,0.31,2.0,1.88
9.0,0.34,1.88,3.7
9.0,0.34,1.88,3.7
9.0,0.34,1.88,3.7
9.0,0.34,1.88,3.7
9.0,0.34,1.88,3.7
9.0,0.34,1.88,3.7
9.0,0.34,1.88,3.7
9.0,0.34,1.88,3.7
6.67,0.27,2.27,2.4
5.5,0.2,1.95,1.1
5.5,0.2,1.95,1.1
6.25,0.23,1.85,1.5
6.25,0.23,1.85,1.5
6.25,0.23,1.85,1.5
6.25,0.23,1.85,1.5
6.25,0.23,1.85,1.5
6.25,0.23,1.85,1.5
6.25,0.23,1.85,1.5
6.25,0.23,1.85,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
