,data1,data2,data3
0,55.52,245,34
1,229.83,244,34
2,236.47,243,34
3,229.83,241,34
4,218.21,241,34
5,220.7,240,34
6,228.17,242,33
7,227.34,243,34
8,228.17,242,33
9,224.85,243,33
10,223.19,243,34
