,data1,data2,data3
0,88.72,662,103
1,234.81,699,118
2,244.77,720,126
3,228.17,733,131
4,237.3,741,133
5,238.13,743,135
6,248.92,743,136
7,247.26,742,136
8,238.13,739,135
9,239.79,734,133
10,252.24,729,132
